deal_event_id,member_deal_ids,acquirer,target,company,src,Currency,Final_Classification,Classification_Confidence,Eligibility,InnovationDeal,is_primary_innovation,is_alternative,completion_year,calendar_year,RelativeYear,Revenue_m,Operating_Income_m,Net_Income_m,Total_Assets_m,Total_Debt_m,R_and_D_Expense_m,ROA_pct,Operating_Margin_pct,Leverage_pct,log_assets,leverage,acquirer_group,Post,treat,TreatPost
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,control,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2015,2016,1,257.9042,17.3628,53.4516,444.3223,0.0,,10.9039,6.7323,0.0,6.096550199994497,0.0,Zambon SpA,1,0,0
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,control,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2015,2017,2,296.842,24.098,53.317,502.492,0.0,,11.2624,8.1181,0.0,6.21957971940849,0.0,Zambon SpA,1,0,0
EVT-4AA783E7,CTL-0207,Zambon SpA,Nigaard Pharma AS,Zambon SpA,control,EUR,Alternative-rationale,Medium,Broader (majority control-transfer),0,0,1,2015,2018,3,681.779,88.516,59.408,638.207,8.422,,10.4161,12.9831,1.3196,6.458662682132472,1.3196,Zambon SpA,1,0,0
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen SA,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2010,-3,1170.298,223.903,95.271,1678.194,22.097,214.033,5.8537,19.1321,1.3167,7.4254734941703715,1.3167,Ipsen S.A.,0,1,0
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen SA,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2011,-2,1210.17,194.433,0.424,1633.391,22.718,234.61,0.0256,16.0666,1.3908,7.398413500929811,1.3908,Ipsen S.A.,0,1,0
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen SA,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2012,-1,1277.405,195.829,-27.932,1561.874,23.667,248.154,-1.7483,15.3302,1.5153,7.35364166133291,1.5153,Ipsen S.A.,0,1,0
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen SA,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2014,1,1332.4,260.5,153.5,1713.3,25.2,186.9,9.3638,19.5512,1.4708,7.446176614338927,1.4708,Ipsen S.A.,1,1,1
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen SA,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2015,2,1520.2,322.5,189.9,1938.0,39.2,192.6,10.4018,21.2143,2.0227,7.569411792450712,2.0227,Ipsen S.A.,1,1,1
EVT-4EFF0E8A,CTL-0281,Ipsen S.A.,"Syntaxin, Ltd.",Ipsen SA,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2013,2016,3,1671.2,403.9553,225.9,2423.5,358.2,231.3,10.3588,24.1716,14.7803,7.792968055285431,14.7803,Ipsen S.A.,1,1,1
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2018,2015,-3,1047.676,282.228,198.792,1468.886,326.933,76.736,13.9792,26.9385,22.2572,7.292259569350429,22.2572,Recordati,0,0,0
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2018,2016,-2,1153.942,340.416,237.406,1560.743,349.761,83.71,15.6723,29.5003,22.4099,7.35291726890857,22.4099,Recordati,0,0,0
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2018,2017,-1,1288.123,408.738,288.762,2056.407,680.749,100.256,15.9663,31.7313,33.1038,7.628715564182558,33.1038,Recordati,0,0,0
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2018,2019,1,1481.848,467.142,368.825,2808.93,1100.553,129.681,14.8415,31.5243,39.1805,7.9405589068934175,39.1805,Recordati,1,0,0
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2018,2020,2,1448.867,469.523,354.984,2711.654,1061.059,146.236,12.8604,32.4062,39.1296,7.905314059800179,39.1296,Recordati,1,0,0
EVT-694CD1B6,CTL-0064,Recordati SpA,Laboratoires Tonipharm,Recordati Industria Chimica e Farmaceutica SpA,control,EUR,Alternative-rationale,High,Strict (100%),0,0,1,2018,2021,3,1580.074,517.293,385.966,2816.199,990.716,166.138,13.9644,32.7385,35.1792,7.943143382394731,35.1792,Recordati,1,0,0
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK PLC,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2012,-3,32595.1901,9646.2327,5548.2487,51052.0877,22524.8984,4419.854,10.8986,29.594,44.1214,10.840601717957409,44.1214,GSK,0,1,0
EVT-7C587316,CTL-0229,GSK plc,GlycoVaxyn AG (Inactive),GSK PLC,control,EUR,High-confidence innovation-driven,High,Broader (majority control-transfer),1,1,0,2015,2013,-2,31221.028,8845.0745,6403.2261,50561.8011,21919.4046,4119.2203,13.0099,28.3305,43.3517,10.830951651208409,43.3517,GSK,0,1,0
